name,rating,picture,rank
Jay Oliva,"7
1.","https://m.media-amazon.com/images/M/MV5BNzEzNDU0MzI3OV5BMl5BanBnXkFtZTgwMjMwMDM2MDE@._V1_UY209_CR42,0,140,209_AL_.jpg",30
Matthew Vaughn,7,"https://m.media-amazon.com/images/M/MV5BMTQyOTc5NzA0M15BMl5BanBnXkFtZTYwODQ2MjYz._V1_UX140_CR0,0,140,209_AL_.jpg",31
Chris Williams,7,"https://m.media-amazon.com/images/M/MV5BMTcwMDM4NzM3OF5BMl5BanBnXkFtZTcwOTYwNzkyMg@@._V1_UY209_CR25,0,140,209_AL_.jpg",32
James Wan,6.86,"https://m.media-amazon.com/images/M/MV5BMTY5NzExMTQ5N15BMl5BanBnXkFtZTcwNjY1NDQzOQ@@._V1_UY209_CR38,0,140,209_AL_.jpg",33
Woody Allen,6.67,"https://m.media-amazon.com/images/M/MV5BMTI1MjU3MTI2MF5BMl5BanBnXkFtZTcwMDgxNTE4MQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",34
Kenneth Branagh,6.67,"https://m.media-amazon.com/images/M/MV5BMjI0NTQ4Mjk5Ml5BMl5BanBnXkFtZTcwMDc1NjkzNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",35
Masayuki,6.67,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,36
Sam Raimi,6.67,"https://m.media-amazon.com/images/M/MV5BODQ0NjI0NzkzMV5BMl5BanBnXkFtZTYwMDc0ODk1._V1_UY209_CR6,0,140,209_AL_.jpg",37
Chad Stahelski,6.67,"https://m.media-amazon.com/images/M/MV5BNjgwNzc0NTc2Nl5BMl5BanBnXkFtZTgwMjM0NzEzMDI@._V1_UX140_CR0,0,140,209_AL_.jpg",38
Ridley Scott,6.57,"https://m.media-amazon.com/images/M/MV5BMGJkOGM5OWEtNDYxMy00Njg4LWExNjAtY2ZlNWNlNzVhNDk4XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX140_CR0,0,140,209_AL_.jpg",39
Tomasz Baginski,6.33,"https://m.media-amazon.com/images/M/MV5BM2ExYWRiZTMtMzg2Zi00NWJhLWE5ZDItNDE1NWJhODZiM2I5XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY209_CR66,0,140,209_AL_.jpg",40
Chris Buck,6.33,"https://m.media-amazon.com/images/M/MV5BMTQ1ODk1Njg5M15BMl5BanBnXkFtZTcwMTIxNzUzOA@@._V1_UY209_CR11,0,140,209_AL_.jpg",41
Marc Forster,6.33,"https://m.media-amazon.com/images/M/MV5BMTM5ODQxMDcxNV5BMl5BanBnXkFtZTcwNjg5NzE1OQ@@._V1_UY209_CR25,0,140,209_AL_.jpg",42
Bryan Singer,6.33,"https://m.media-amazon.com/images/M/MV5BMTMwMzQ0OTgzNF5BMl5BanBnXkFtZTcwMjExNzAyMg@@._V1_UX140_CR0,0,140,209_AL_.jpg",43
